[20.11.2014] [22.54.44] [byErmolaev.Config]Считывание конфиг файла
[20.11.2014] [22.54.44] [byErmolaev.Config]There is: 1
[20.11.2014] [22.54.44] [byErmolaev.Config]There is: 2
[20.11.2014] [22.54.44] [byErmolaev.Config]There is: 3
[20.11.2014] [22.54.44] [byErmolaev.Config]There is: 4
[20.11.2014] [22.54.44] [byErmolaev.Config]There is: 5
[20.11.2014] [22.54.44] [byErmolaev.Config]There is: 6
[20.11.2014] [22.54.44] [byErmolaev.Config]There is: 7
[20.11.2014] [22.54.44] [byErmolaev.Config]There is: 8
[20.11.2014] [22.54.44] [byErmolaev.Config]There is: 9
[20.11.2014] [22.54.44] [byErmolaev.Config]There is: 10
[20.11.2014] [22.54.44] [byErmolaev.Config]There is: 11
[20.11.2014] [22.54.44] [byErmolaev.Config]There is: 12
[20.11.2014] [22.54.44] [byErmolaev.Config]There is: 13
[20.11.2014] [22.54.44] [byErmolaev.Config]There is: 14
[20.11.2014] [22.54.44] [byErmolaev.Config]There is: 15
[20.11.2014] [22.54.44] [byErmolaev.Config]There is: 11
[20.11.2014] [22.54.44] [byErmolaev.Config]There is: 12
[20.11.2014] [22.54.44] [byErmolaev.Config]There is: 13
[20.11.2014] [22.54.44] [byErmolaev.Config]Сортировка прошла успешно
